iter	Passed	Remaining
0	133	132989
1	134	66967
2	137	45577
3	138	34474
4	139	27755
5	140	23298
6	141	20113
7	142	17714
8	143	15850
9	145	14358
10	146	13146
11	147	12128
12	148	11265
13	152	10763
14	154	10139
15	155	9563
16	156	9055
17	157	8606
18	158	8205
19	160	7840
20	161	7516
21	162	7216
22	163	6948
23	166	6787
24	168	6560
25	169	6345
26	170	6148
27	171	5963
28	172	5790
29	173	5625
30	175	5476
31	176	5335
32	177	5201
33	180	5128
34	181	5013
35	183	4903
36	184	4794
37	185	4692
38	186	4596
39	187	4504
40	188	4416
41	190	4338
42	191	4258
43	193	4209
44	196	4159
45	197	4090
46	198	4024
47	199	3961
48	201	3901
49	202	3840
50	203	3782
51	204	3725
52	205	3673
53	209	3668
54	210	3617
55	211	3569
56	213	3525
57	214	3480
58	215	3436
59	216	3394
60	217	3354
61	219	3314
62	220	3279
63	223	3266
64	224	3233
65	226	3198
66	227	3162
67	228	3129
68	229	3097
69	231	3071
70	232	3039
71	233	3008
72	234	2978
73	239	2991
74	240	2966
75	241	2939
76	243	2917
77	244	2892
78	245	2866
79	247	2842
80	248	2818
81	249	2796
82	252	2790
83	254	2773
84	255	2752
85	257	2732
86	258	2709
87	259	2689
88	261	2671
89	262	2653
90	263	2634
91	267	2636
92	268	2618
93	269	2599
94	270	2580
95	271	2561
96	273	2542
97	274	2525
98	275	2506
99	276	2488
100	277	2470
101	279	2461
102	282	2461
103	283	2446
104	285	2431
105	286	2415
106	287	2399
107	288	2383
108	289	2368
109	290	2354
110	292	2339
111	293	2324
112	296	2329
113	298	2319
114	299	2306
115	300	2292
116	301	2277
117	302	2262
118	304	2250
119	305	2237
120	306	2224
121	307	2210
122	308	2198
123	311	2197
124	312	2186
125	313	2174
126	314	2162
127	315	2151
128	316	2139
129	317	2126
130	318	2115
131	320	2104
132	321	2093
133	322	2083
134	325	2088
135	327	2079
136	328	2070
137	329	2059
138	330	2049
139	332	2039
140	333	2029
141	333	2017
142	335	2007
143	336	1998
144	337	1987
145	341	1997
146	343	1990
147	344	1982
148	345	1972
149	346	1963
150	347	1955
151	349	1948
152	350	1939
153	351	1930
154	352	1921
155	356	1927
156	357	1920
157	358	1913
158	360	1905
159	361	1896
160	361	1886
161	362	1877
162	364	1869
163	365	1862
164	366	1855
165	367	1846
166	372	1855
167	373	1849
168	374	1841
169	375	1834
170	376	1826
171	377	1819
172	379	1812
173	380	1806
174	381	1798
175	382	1791
176	387	1804
177	389	1797
178	390	1789
179	391	1782
180	392	1775
181	393	1768
182	394	1761
183	395	1754
184	396	1747
185	397	1740
186	400	1741
187	401	1734
188	402	1728
189	403	1722
190	405	1715
191	406	1708
192	407	1703
193	408	1696
194	409	1690
195	410	1684
196	411	1677
197	412	1671
198	417	1680
199	418	1675
200	420	1671
201	421	1665
202	422	1660
203	423	1653
204	424	1647
205	425	1641
206	426	1635
207	428	1630
208	432	1636
209	433	1631
210	435	1626
211	436	1621
212	437	1615
213	438	1609
214	439	1604
215	440	1598
216	441	1594
217	442	1588
218	446	1591
219	447	1587
220	448	1581
221	449	1576
222	450	1570
223	451	1565
224	453	1560
225	454	1556
226	455	1551
227	456	1545
228	457	1540
229	461	1543
230	462	1539
231	463	1534
232	464	1529
233	465	1524
234	466	1519
235	467	1514
236	468	1509
237	470	1505
238	471	1500
239	472	1496
240	476	1501
241	477	1496
242	479	1492
243	480	1487
244	481	1482
245	482	1478
246	483	1473
247	484	1468
248	485	1464
249	486	1459
250	487	1455
251	491	1458
252	492	1453
253	493	1449
254	494	1445
255	495	1440
256	496	1436
257	497	1432
258	499	1428
259	500	1424
260	502	1421
261	507	1429
262	508	1425
263	509	1421
264	511	1417
265	512	1413
266	513	1408
267	514	1404
268	515	1400
269	516	1397
270	522	1406
271	524	1402
272	525	1398
273	526	1394
274	527	1389
275	528	1386
276	529	1382
277	530	1378
278	531	1374
279	535	1377
280	537	1374
281	538	1370
282	539	1366
283	540	1362
284	541	1359
285	542	1355
286	544	1351
287	545	1347
288	546	1344
289	548	1343
290	551	1344
291	553	1341
292	554	1338
293	555	1334
294	556	1330
295	557	1326
296	559	1323
297	560	1319
298	561	1316
299	564	1317
300	565	1313
301	566	1310
302	567	1306
303	569	1302
304	570	1299
305	571	1296
306	572	1292
307	573	1289
308	575	1286
309	577	1284
310	578	1282
311	579	1278
312	580	1275
313	582	1271
314	583	1268
315	584	1265
316	585	1262
317	586	1258
318	588	1255
319	589	1253
320	591	1250
321	595	1254
322	596	1250
323	597	1247
324	602	1250
325	603	1247
326	604	1244
327	606	1243
328	609	1242
329	610	1238
330	611	1235
331	612	1231
332	613	1229
333	614	1226
334	616	1222
335	617	1219
336	618	1216
337	619	1213
338	621	1211
339	622	1208
340	623	1205
341	625	1203
342	626	1199
343	627	1196
344	628	1193
345	629	1190
346	631	1187
347	632	1184
348	633	1180
349	634	1179
350	636	1177
351	638	1175
352	639	1171
353	640	1169
354	642	1166
355	643	1164
356	644	1160
357	645	1157
358	647	1155
359	648	1152
360	650	1150
361	652	1150
362	653	1147
363	654	1144
364	656	1141
